match_id,name_officials,role
429210,Marcelo Bielsa,Manager Home Team
429210,Sam Allardyce,Manager Away Team
429210,David Coote,Referee
429210,Nicholas Hopton,Assistants
429210,Shaun Hudson,Assistants
429210,Darren Bond,Fourth official
429210,Graham Scott,VAR
429210,Dan Robathan,Assistant VAR
429213,Pep Guardiola,Manager Home Team
429213,Carlo Ancelotti,Manager Away Team
429213,Michael Oliver,Referee
429213,Simon Bennett,Assistants
429213,Stuart Burt,Assistants
429213,Michael Salisbury,Fourth official
429213,Darren England,VAR
429213,Andy Halliday,Assistant VAR
429214,Paul Heckingbottom,Manager Home Team
429214,Sean Dyche,Manager Away Team
429214,Kevin Friend,Referee
429214,Andrew Fox,Assistants
429214,Simon Beck,Assistants
429214,Geoff Eltringham,Fourth official
429214,Lee Mason,VAR
429214,Matt Wilkes,Assistant VAR
429211,Brendan Rodgers,Manager Home Team
429211,Ryan Mason,Manager Away Team
429211,Anthony Taylor,Referee
429211,Mark Scholes,Assistants
429211,Adam Nunn,Assistants
429211,Keith Stroud,Fourth official
429211,Peter Bankes,VAR
429211,Lee Betts,Assistant VAR
429208,Dean Smith,Manager Home Team
429208,Thomas Tuchel,Manager Away Team
429208,Stuart Attwell,Referee
429208,Simon Long,Assistants
429208,Neil Davies,Assistants
429208,Tim Robinson,Fourth official
429208,Jarred Gillet,VAR
429208,Stephen Child,Assistant VAR
429212,Jürgen Klopp,Manager Home Team
429212,Roy Hodgson,Manager Away Team
429212,Craig Pawson,Referee
429212,Scott Ledger,Assistants
429212,Richard West,Assistants
429212,Tony Harrington,Fourth official
429212,Paul Tierney,VAR
429212,Edward Smart,Assistant VAR
429209,Scott Parker,Manager Home Team
429209,Steve Bruce,Manager Away Team
429209,Chris Kavanagh,Referee
429209,Sian Massey,Assistants
429209,Daniel Cook,Assistants
429209,James Linington,Fourth official
429209,Robert Jones,VAR
429209,Adrian Holmes,Assistant VAR
429207,Mikel Arteta,Manager Home Team
429207,Graham Potter,Manager Away Team
429207,Jonathan Moss,Referee
429207,Timothy Wood,Assistants
429207,Marc Perry,Assistants
429207,Dean Whitestone,Fourth official
429207,Simon Hooper,VAR
429207,Derek Eaton,Assistant VAR
429216,Nuno Espírito Santo,Manager Home Team
429216,Ole Gunnar Solskjaer,Manager Away Team
429216,Mike Dean,Referee
429216,Harry Lennard,Assistants
429216,Ian Hussin,Assistants
429216,John Brooks,Fourth official
429216,Andy Madley,VAR
429216,Darren Cann,Assistant VAR
429201,Carlo Ancelotti,Manager Home Team
429201,Nuno Espírito Santo,Manager Away Team
429201,Andy Madley,Referee
429201,Derek Eaton,Assistants
429201,Simon Long,Assistants
429201,David Coote,Fourth official
429201,Graham Scott,VAR
429201,Dan Robathan,Assistant VAR
429205,Ryan Mason,Manager Home Team
429205,Dean Smith,Manager Away Team
429205,Craig Pawson,Referee
429205,Ian Hussin,Assistants
429205,Richard West,Assistants
429205,Simon Hooper,Fourth official
429205,Kevin Friend,VAR
429205,Simon Beck,Assistant VAR
429203,Steve Bruce,Manager Home Team
429203,Paul Heckingbottom,Manager Away Team
429203,Robert Jones,Referee
429203,Edward Smart,Assistants
429203,Harry Lennard,Assistants
429203,Tony Harrington,Fourth official
429203,Martin Atkinson,VAR
429203,Peter Kirkup,Assistant VAR
429198,Sean Dyche,Manager Home Team
429198,Jürgen Klopp,Manager Away Team
429198,Chris Kavanagh,Referee
429198,Daniel Cook,Assistants
429198,Sian Massey,Assistants
429198,Jonathan Moss,Fourth official
429198,Paul Tierney,VAR
429198,Simon Bennett,Assistant VAR
429215,David Moyes,Manager Home Team
429215,Ralph Hasenhüttl,Manager Away Team
429215,Martin Atkinson,Referee
429215,Constantine Hatzidakis,Assistants
429215,James Mainwaring,Assistants
429215,Matt Donohue,Fourth official
429215,Andre Marriner,VAR
429215,Peter Kirkup,Assistant VAR
429200,Roy Hodgson,Manager Home Team
429200,Mikel Arteta,Manager Away Team
429200,Anthony Taylor,Referee
429200,Adam Nunn,Assistants
429200,Gary Beswick,Assistants
429200,Andre Marriner,Fourth official
429200,Stuart Attwell,VAR
429200,Scott Ledger,Assistant VAR
429206,Sam Allardyce,Manager Home Team
429206,David Moyes,Manager Away Team
429206,Michael Oliver,Referee
429206,Lee Betts,Assistants
429206,Stuart Burt,Assistants
429206,Darren England,Fourth official
429206,Jarred Gillet,VAR
429206,Stephen Child,Assistant VAR
429202,Ole Gunnar Solskjaer,Manager Home Team
429202,Scott Parker,Manager Away Team
429202,Lee Mason,Referee
429202,Simon Bennett,Assistants
429202,Adrian Holmes,Assistants
429202,Anthony Taylor,Fourth official
429202,Simon Hooper,VAR
429202,Matt Wilkes,Assistant VAR
429204,Ralph Hasenhüttl,Manager Home Team
429204,Marcelo Bielsa,Manager Away Team
429204,Peter Bankes,Referee
429204,Neil Davies,Assistants
429204,James Mainwaring,Assistants
429204,Kevin Friend,Fourth official
429204,David Coote,VAR
429204,Marc Perry,Assistant VAR
429199,Thomas Tuchel,Manager Home Team
429199,Brendan Rodgers,Manager Away Team
429199,Mike Dean,Referee
429199,Mark Scholes,Assistants
429199,Darren Cann,Assistants
429199,Andy Madley,Fourth official
429199,Andre Marriner,VAR
429199,Stephen Child,Assistant VAR
429197,Graham Potter,Manager Home Team
429197,Pep Guardiola,Manager Away Team
429197,Stuart Attwell,Referee
429197,Nicholas Hopton,Assistants
429197,Constantine Hatzidakis,Assistants
429197,Graham Scott,Fourth official
429197,Jonathan Moss,VAR
429197,Timothy Wood,Assistant VAR
429193,Roy Hodgson,Manager Home Team
429193,Dean Smith,Manager Away Team
429193,David Coote,Referee
429193,Nicholas Hopton,Assistants
429193,James Mainwaring,Assistants
429193,Robert Jones,Fourth official
429193,Paul Tierney,VAR
429193,Andy Halliday,Assistant VAR
429196,Ryan Mason,Manager Home Team
429196,Nuno Espírito Santo,Manager Away Team
429196,Martin Atkinson,Referee
429196,Lee Betts,Assistants
429196,Constantine Hatzidakis,Assistants
429196,Peter Bankes,Fourth official
429196,Stuart Attwell,VAR
429196,Matt Wilkes,Assistant VAR
429189,Carlo Ancelotti,Manager Home Team
