match_id,name_officials,role
465005,Mikel Arteta,Manager Home Team
465005,Julen Lopetegui,Manager Away Team
465005,Andre Marriner,Referee
465005,Simon Long,Assistants
465005,Scott Ledger,Assistants
465005,James Linington,Fourth official
465005,Tony Harrington,VAR
465005,Stuart Burt,Assistant VAR
465006,Unai Emery,Manager Home Team
465006,Roberto De Zerbi,Manager Away Team
465006,David Coote,Referee
465006,Simon Bennett,Assistants
465006,Timothy Wood,Assistants
465006,Andy Davies,Fourth official
465006,Graham Scott,VAR
465006,Lee Betts,Assistant VAR
465007,Thomas Frank,Manager Home Team
465007,Pep Guardiola,Manager Away Team
465007,John Brooks,Referee
465007,Ian Hussin,Assistants
465007,Matt Wilkes,Assistants
465007,Jeremy Simpson,Fourth official
465007,Darren Bond,VAR
465007,Darren Cann,Assistant VAR
465008,Frank Lampard,Manager Home Team
465008,Eddie Howe,Manager Away Team
465008,Jarred Gillet,Referee
465008,Marc Perry,Assistants
465008,Wade Smith,Assistants
465008,Keith Stroud,Fourth official
465008,Peter Bankes,VAR
465008,Natalie Aspinall,Assistant VAR
465009,Roy Hodgson,Manager Home Team
465009,Steve Cooper,Manager Away Team
465009,Thomas Bramall,Referee
465009,Edward Smart,Assistants
465009,Nick Greenhalgh,Assistants
465009,Oliver Langford,Fourth official
465009,Paul Tierney,VAR
465009,Bhupinder Gill,Assistant VAR
465010,Sean Dyche,Manager Home Team
465010,Gary O'Neil,Manager Away Team
465010,Stuart Attwell,Referee
465010,James Mainwaring,Assistants
465010,Constantine Hatzidakis,Assistants
465010,James Bell,Fourth official
465010,Michael Oliver,VAR
465010,Mark Scholes,Assistant VAR
465011,Sam Allardyce,Manager Home Team
465011,Ryan Mason,Manager Away Team
465011,Anthony Taylor,Referee
465011,Gary Beswick,Assistants
465011,Adam Nunn,Assistants
465011,David Webb,Fourth official
465011,Michael Salisbury,VAR
465011,Neil Davies,Assistant VAR
465012,Dean Smith,Manager Home Team
465012,David Moyes,Manager Away Team
465012,Simon Hooper,Referee
465012,Adrian Holmes,Assistants
465012,Richard West,Assistants
465012,Matt Donohue,Fourth official
465012,Chris Kavanagh,VAR
465012,Dan Robathan,Assistant VAR
465013,Erik ten Hag,Manager Home Team
465013,Marco Silva,Manager Away Team
465013,Robert Jones,Referee
465013,Harry Lennard,Assistants
465013,Nicholas Hopton,Assistants
465013,Geoff Eltringham,Fourth official
465013,Andy Madley,VAR
