match_id,number_player,name_player,nationality,age,position,transfer_fee,first_team,substitution,play_time,goals,penalty_goals,missed_penalty_goals,own_goals,assists,yellow_card,red_card
465012,1,Lukasz Fabianski,Poland,38,GK,1000000.0,True,False,90,0,0,0,0,0,False,False
465012,5,Vladimir Coufal,Czech Republic,30,RB,9000000.0,True,False,90,0,0,0,0,0,False,False
465012,24,Thilo Kehrer,Germany,26,CB,18000000.0,True,False,90,0,0,0,0,0,False,False
465012,27,Naif Aguerd,Morocco,27,CB,32000000.0,True,False,90,0,0,0,0,0,False,False
465012,3,Aaron Cresswell,England,33,LB,2500000.0,True,True,71,0,0,0,0,0,False,False
465012,41,Declan Rice,England,24,DM,80000000.0,True,False,90,0,0,0,0,0,False,False
465008,1,Martin Dubravka,Slovakia,34,GK,2500000.0,True,False,90,0,0,0,0,0,False,False
465008,2,Kieran Trippier,England,32,RB,13000000.0,True,False,90,0,0,0,1,0,False,False
465012,12,Flynn Downes,England,24,DM,8000000.0,True,True,86,0,0,0,0,0,False,False
465012,8,Pablo Fornals,Spain,27,RM,25000000.0,True,False,90,1,0,0,0,0,False,False
465008,5,Fabian Schär,Switzerland,31,CB,10000000.0,True,False,90,0,0,0,0,0,False,False
465008,4,Sven Botman,Netherlands,23,CB,45000000.0,True,False,90,0,0,0,0,0,False,False
465012,11,Lucas Tolentino Coelho de Lima,Brazil,25,AM,45000000.0,True,True,71,0,0,0,0,0,False,False
465008,13,Matt Targett,England,27,LB,15000000.0,True,True,75,0,0,0,0,0,False,False
465010,1,Mark Travers,Ireland,24,GK,2000000.0,True,False,90,0,0,0,0,0,False,False
465010,15,Adam Smith,England,32,RB,1500000.0,True,True,83,0,0,0,0,0,True,False
465012,22,Said Benrahma,Algeria,27,LW,22000000.0,True,True,62,0,0,0,0,0,False,False
465010,27,Illia Zabarnyi,Ukraine,20,CB,18000000.0,True,False,90,0,0,0,0,0,False,False
465008,8,Anthony Gordon,England,22,AM,40000000.0,True,True,9,1,0,0,0,0,False,False
465012,9,Michail Antonio,Jamaica,33,CF,9000000.0,True,True,62,0,0,0,0,0,False,False
465010,25,Marcos Senesi,Argentina,26,CB,17000000.0,True,False,90,0,0,0,0,0,True,False
465012,4,Kurt Zouma,France,28,CB,28000000.0,False,False,0,0,0,0,0,0,False,False
465012,10,Manuel Lanzini,Argentina,30,AM,8000000.0,False,True,4,0,0,0,0,0,False,False
465008,39,Bruno Guimarães Rodriguez Moura,Brazil,25,DM,60000000.0,True,False,90,0,0,0,0,0,False,False
465012,13,Alphonse Areola,France,30,GK,8000000.0,False,False,0,0,0,0,0,0,False,False
465008,32,Elliot Anderson,Scotland,20,CM,3500000.0,True,True,9,0,0,0,0,1,False,False
465008,24,Miguel Almirón,Paraguay,29,RW,35000000.0,True,False,90,0,0,0,0,0,False,False
465010,5,Lloyd Kelly,England,24,LB,15000000.0,True,False,90,0,0,0,0,0,False,False
465012,14,Maxwel Cornet,Cote d'Ivoire,26,LW,15000000.0,False,True,19,0,0,0,0,0,False,False
465012,18,Danny Ings,England,30,CF,16000000.0,False,True,28,0,0,0,0,1,True,False
465010,8,Jefferson Lerma,Colombia,28,DM,15000000.0,True,False,90,0,0,0,0,0,False,False
465012,20,Jarrod Bowen,England,26,RW,38000000.0,False,True,28,0,0,0,0,0,False,False
465010,29,Philip Billing,Denmark,26,DM,18000000.0,True,False,90,0,0,0,0,0,False,False
465008,14,Alexander Isak,Sweden,23,CF,50000000.0,True,True,88,0,0,0,0,0,False,False
465012,21,Angelo Ogbonna,Italy,35,CB,1000000.0,False,False,0,0,0,0,0,0,False,False
465012,28,Tomas Soucek,Czech Republic,28,DM,35000000.0,False,False,0,0,0,0,0,0,False,False
465012,33,Emerson,Italy,28,LB,12000000.0,False,True,19,0,0,0,0,0,False,False
465010,7,David Brooks,Wales,25,RW,12000000.0,True,True,56,0,0,0,0,0,False,False
465010,10,Ryan Christie,Scotland,28,AM,9000000.0,True,True,65,0,0,0,0,0,False,False
465008,10,Allan Saint-Maximin,France,26,LW,35000000.0,True,True,69,0,0,0,0,0,False,False
465008,3,Paul Dummett,Wales,31,LB,1200000.0,False,False,0,0,0,0,0,0,False,False
465008,9,Callum Wilson,England,31,CF,18000000.0,False,True,21,0,0,0,0,0,False,False
465009,13,Wayne Hennessey,Wales,36,GK,500000.0,True,False,90,0,0,0,0,0,False,False
465006,23,Jason Steele,England,32,GK,1000000.0,True,False,90,0,0,0,0,0,False,False
465010,11,Dango Ouattara,Burkina Faso,21,LW,20000000.0,True,False,90,0,0,0,0,0,False,False
465008,12,Jamal Lewis,Northern Ireland,25,LB,8000000.0,False,True,2,0,0,0,0,0,False,False
465009,4,Joe Worrall,England,26,CB,8000000.0,True,False,90,0,0,0,0,0,False,False
465008,18,Loris Karius,Germany,29,GK,1500000.0,False,False,0,0,0,0,0,0,False,False
465009,30,Willy Boly,Cote d'Ivoire,32,CB,4000000.0,True,True,72,0,0,0,0,0,False,False
465011,20,Fraser Forster,England,35,GK,1500000.0,True,False,90,0,0,0,0,0,False,False
465008,23,Jacob Murphy,England,28,RW,10000000.0,False,True,21,0,0,0,0,0,False,False
465006,34,Joël Veltman,Netherlands,31,RB,10000000.0,True,True,45,0,0,0,0,0,False,False
465006,4,Adam Webster,England,28,CB,22000000.0,True,True,65,0,0,0,0,0,False,False
465009,19,Moussa Niakhate,Senegal,27,CB,18000000.0,True,False,90,0,0,0,0,0,False,False
465008,29,Mark Gillespie,England,31,GK,300000.0,False,False,0,0,0,0,0,0,False,False
465010,9,Dominic Solanke,England,25,CF,18000000.0,True,False,90,0,0,0,0,0,True,False
465011,12,Emerson Aparecido Leite de Souza Junior,Brazil,24,RB,25000000.0,True,False,90,0,0,0,0,0,False,False
465010,3,Jack Stephens,England,29,CB,5000000.0,False,False,0,0,0,0,0,0,False,False
465011,6,Davinson Sánchez,Colombia,26,CB,20000000.0,True,False,90,0,0,0,0,0,False,False
465010,4,Lewis Cook,England,26,CM,10000000.0,False,False,0,0,0,0,0,0,False,False
465008,30,Harrison Ashby,Scotland,21,RB,1000000.0,False,False,0,0,0,0,0,0,False,False
465011,34,Clement Lenglet,France,27,CB,12000000.0,True,False,90,0,0,0,0,0,False,False
465006,6,Levi Samuels Colwill,England,20,CB,16000000.0,True,False,90,0,0,0,0,0,False,False
465006,13,Pascal Groß,Germany,31,LB,8000000.0,True,False,90,0,0,0,0,1,True,False
465011,33,Ben Davies,Wales,30,LB,20000000.0,True,False,90,0,0,0,0,0,False,False
465010,6,Chris Mepham,Wales,25,CB,6000000.0,False,False,0,0,0,0,0,0,False,False
